state,year,state_abbr,sfip,pop_wm65o,pop_wmU20,pop_wmWA,pop_wf65o,pop_wfU20,pop_wfWA,pop_bm65o,pop_bmU20,pop_bmWA,pop_bf65o,pop_bfU20,pop_bfWA,pop_nm65o,pop_nmU20,pop_nmWA,pop_nf65o,pop_nfU20,pop_nfWA,population,m_gdp,rpcgdp,rpcpi,pov,lab,state_area,density,refundable_eitc,eitc,ca_model,nc_model
Kansas,2007,KS,20,0.052463462515962976,0.12720845898659558,0.2630127685866545,0.07114198833602452,0.12047194736662493,0.2611221771796313,0.001858979770348644,0.013067101087188846,0.018523341421841127,0.0027667366553092284,0.01221035388868034,0.017603011726839538,8.718345705577119e-4,0.006314065202592873,0.01171821818136099,0.001119698539937531,0.00623036621003418,0.012295489773815147,2783785,137093.6,49247.19401821621,38057,7.7,68.8,82264,33.83965039385394,1,1,0,1
Kentucky,2007,KY,21,0.05146438344321573,0.11990047624059359,0.27269096608806126,0.0700784556573774,0.11378443065380654,0.2757503984333301,0.0024927924914111307,0.014389410318671489,0.023433565001014876,0.0039415768938739,0.013664195878846198,0.023611873313236255,3.2466678193668666e-4,0.0021953770457296216,0.004680651927139324,4.480025710226205e-4,0.0022393080791754684,0.004909469181557799,4256672,174407.3,40972.689462566064,31728,13.2,61.3,40395,105.37620992697116,0,0,1,0
Louisiana,2007,LA,22,0.039158228358702536,0.08359781249621479,0.20028151690026993,0.052422981085254734,0.07978437606343021,0.19863396426668825,0.010512661061468179,0.056077810009687853,0.08688674715426363,0.016380224706159022,0.05472918910654379,0.0979753317330887,6.808238723040438e-4,0.0034973641214732397,0.007574994040791383,8.28232867818011e-4,0.003378294219670485,0.007599447936171219,4375581,230367.7,52648.48256722936,36432,14.6,61,48523,90.17540135605795,1,1,0,1
Massachusetts,2007,MA,25,0.051089634721534855,0.1077567662832604,0.25865983659638353,0.07355541634617672,0.10311496792612802,0.26907115366585305,0.0021074206113945314,0.013821221262216517,0.0218412052194499,0.003304952967079988,0.01326474654123518,0.02402294684694644,0.0016737776952679747,0.008250876653700915,0.01833770008173757,0.0020128867666455363,0.008380238757041645,0.019734251057947225,6431559,406421.2,63191.70826233577,50085,7.3,67.3,8257,778.9220055710307,1,1,0,1
Maryland,2007,MD,24,0.03687651766863456,0.0810267010624388,0.19356430669783606,0.050159302141292474,0.07672646304671447,0.19469689787116018,0.009655768697394563,0.04844706060485993,0.0841064363300862,0.015020674255245685,0.047122019143143394,0.10063292796132882,0.0021680727801708277,0.008559261953144015,0.019073981570054736,0.0026074537694785165,0.008325420701990728,0.021230733745026008,5653408,306755.8,54260.332882395895,47327,5.4,68.7,10577,534.5001418171504,1,1,0,1
Maine,2007,ME,23,0.06362129250060285,0.11874698577284784,0.29129114420062696,0.08418661080299011,0.11185796961659031,0.2992404147576561,2.0647455992283577e-4,0.003462593441041717,0.003577134072823728,2.1853146853146853e-4,0.00314157824933687,0.0024596093561610804,4.023993248131179e-4,0.0028567337834579216,0.0050767120810224255,5.71949602122016e-4,0.003137810465396672,0.005944055944055944,1327040,55359.9,41716.8284301905,35686,7.9,65.7,33215,39.95303326810176,1,1,0,1
Michigan,2007,MI,26,0.0488956218021606,0.10955253345470442,0.24492745131525112,0.06546979367849168,0.10392915549643426,0.24419494536901462,0.005017255784357288,0.026589385922847507,0.039360446118718355,0.007772402023580172,0.02562820933792101,0.044855940497240156,8.82986624517412e-4,0.005493394648127181,0.010242784826428286,0.0010691627195068153,0.005349713096838366,0.010768817283860753,10001284,446943.2,44688.58198607299,34929,10.1,63.3,58216,171.79613851862032,1,1,0,1
Minnesota,2007,MN,27,0.051234607139379815,0.11815402625939492,0.2723216283290665,0.06802212243309892,0.11260959098387369,0.2687358261239287,7.562601265977148e-4,0.0121105322761567,0.01489763314393543,0.0010126357662645377,0.011434161487462655,0.014028260469200068,0.0010007291822500487,0.010667531110271676,0.015217958662260719,0.0013243194090954396,0.010397520511491487,0.01607465658627098,5207203,286299.2,54981.378678726374,41655,6.5,71.1,84068,61.94036970071846,1,1,0,1
Missouri,2007,MO,29,0.05295593527562618,0.11379554223342163,0.25335670896791435,0.07097427615814357,0.10816082989164368,0.25571946656810945,0.0037541536364828387,0.021874912952823657,0.031805594526269736,0.006140689977532487,0.021108388256563103,0.036325253770119366,6.42535547519096e-4,0.0035904200208845285,0.00740707777618498,7.901335889661207e-4,0.0036026490876097136,0.007995431764185547,5887612,267691.2,45466.854813122874,35502,9.5,65.3,69686,84.487730677611,0,0,1,0
Mississippi,2007,MS,28,0.039182133283248245,0.07998907234449434,0.1831580924411358,0.05359195451363396,0.075580104837195,0.18054535830757934,0.011619512694862295,0.06613417112025544,0.098028582648932,0.018722830262775967,0.06463264295593081,0.11393788310823501,3.401232776136732e-4,0.002422524629911042,0.004477265354209709,4.890125838782932e-4,0.0023412501920876943,0.004807485444021377,2928350,100211.8,34221.250875066165,29554,16.3,59.8,47716,61.37039986587308,0,0,1,0
Montana,2007,MT,30,0.06224798021366095,0.11654016871461358,0.2812784413075072,0.0741500519329205,0.10958571834320507,0.2729940520738961,1.1402437633849069e-4,0.0017912192937537446,0.0020348168250223383,1.057316944229641e-4,0.0015134144495836037,0.0011371340076665845,0.0018585973343173982,0.015560181029246216,0.02004030243410946,0.00251475579088344,0.015100973768173931,0.021432436410678487,964706,40438.3,41917.74488807989,34183,9.7,65.2,147138,6.556470796123367,1,1,0,1
North Carolina,2007,NC,37,0.04343599395352311,0.09619658266357112,0.2240658817243229,0.058696625161753564,0.09090224134865871,0.22514330661303525,0.007412889419071232,0.03674891865431123,0.06047858766091868,0.01223816047247889,0.035754516021376095,0.07062331508415683,8.807816857948701e-4,0.006276570274939661,0.011530113334701319,0.001187755653985611,0.006127634709093635,0.012300125564307318,9118037,438960.1,48141.9520451606,36211,10.6,65,52586,173.39286121781464,0,0,0,1
North Dakota,2007,ND,38,0.0608343468816921,0.11694152464224551,0.28496895018856594,0.08104659463069566,0.11009739255110888,0.26573552974624015,1.1488583411711003e-4,0.0030988538989188477,0.004356470829720812,1.0875858963086416e-4,0.002749600963202833,0.002650033240301338,0.0012315761417354195,0.014017603573408985,0.018027885089656904,0.0017692418454034943,0.013312970457490709,0.018937780895864415,652822,32022.2,49051.96209686561,36709,7.5,69.6,70665,9.23826505342107,0,0,1,0
Nebraska,2007,NE,31,0.05469822365765038,0.12852240613645538,0.2712247117929395,0.07430976091149688,0.12244931144305388,0.266794509487283,0.0012145067958552011,0.010396761315211053,0.0134902211456511,0.0017382137890817745,0.00987305432198448,0.013227246220786795,5.567891266316782e-4,0.006069730408648455,0.009124500964428297,7.765890638316961e-4,0.005779841205759656,0.009753622213250795,1783440,93910.8,52657.11209796797,38531,8.2,70.7,77227,23.09347766972691,1,1,0,1
New Hampshire,2007,NH,33,0.05420406235238545,0.12545979551099395,0.2938523778322946,0.07062413335974523,0.1196923522330748,0.2970119005896963,2.582778429609764e-4,0.0030040989226994986,0.004283298032821857,2.9561003855120603e-4,0.002765629999847624,0.0031945693083639355,5.409358952870008e-4,0.0038711201182440153,0.00788471208496503,6.09505234126198e-4,0.0039351181678272664,0.008512502476115014,1312540,66853.6,50934.523900224,44695,4.6,69.8,9304,141.0726569217541,0,0,1,0
New Jersey,2007,NJ,34,0.04598320904229544,0.09981349142100869,0.22707721985253318,0.06568535996962394,0.0942026772652553,0.2295495964742561,0.00503313883509634,0.024385895872093256,0.04147001256642604,0.008098862798942369,0.023586277070968328,0.04773133084847287,0.0027630004315567676,0.012360500283191123,0.027722538383488603,0.0032884740924776024,0.011951068722390306,0.02929734606992372,8677885,520898.3,60025.951023780566,50473,6.3,65.9,7836,1107.4381061766207,1,1,0,1
New Mexico,2007,NM,35,0.052015255744772795,0.1182229770812082,0.24999070384458838,0.06375554628731653,0.11329701970282452,0.25368152879044453,8.73336113805042e-4,0.005091780691131468,0.008325335289713427,9.853924736315809e-4,0.004821438441863854,0.00671383418673715,0.0034340500585406542,0.02209068022732869,0.03348022933866648,0.004948569648303829,0.021976111393066575,0.03629621068605627,1990070,86738.8,43585.80351444924,31950,14.2,61.7,121666,16.3568293524896,1,1,0,1
Nevada,2007,NV,32,0.045968739042979205,0.1118788714806818,0.256488094139647,0.05062105162794417,0.10566181943444856,0.2396961714247049,0.003088342037436872,0.016279441707111528,0.026034265871917425,0.0035904427097750466,0.015448630410845989,0.02550871333050373,0.0035896737960348655,0.013664366076756045,0.02934559289400678,0.004924892505859123,0.01324069460591633,0.03497019690343058,2601072,144107.1,55402.96462381664,40212,7.5,67.5,110540,23.53059525963452,0,0,1,0
New York,2007,NY,36,0.04463166675682816,0.09321988142064207,0.22068811778593675,0.06314054191503546,0.08851569868497494,0.22424785056293442,0.006249576959634044,0.02842888753515972,0.049028098243105195,0.01078514462557759,0.027627260342242596,0.05855955376068839,0.0030250358881966054,0.011102774439188943,0.02714378563829245,0.0037540634742178622,0.010641827043066097,0.029210234924278714,19132335,1208564.6,63168.69320968925,47428,10.3,63,49576,385.91929562691627,1,1,0,1
Ohio,2007,OH,39,0.05135504050791672,0.11265880658074089,0.25260537223354734,0.07140831138350195,0.10721302820024367,0.2559577575451712,0.004597291171107124,0.023091842871090115,0.03342803092882829,0.007097450295066253,0.022259615869545484,0.037640729055548,5.731940647980587e-4,0.002945532303554951,0.006507909069439609,7.121449318410346e-4,0.003021181398878724,0.006926761589180545,11500468,546729.3,47539.74359999959,35629,9.7,64.9,41222,278.98859832128477,0,1,1,0
