State,sfip,year,pov,lab
Massachusetts,25,2010,8.2,67.7
Michigan,26,2010,12.1,62.2
Minnesota,27,2010,7.5,70.4
Mississippi,28,2010,17.8,58.7
Missouri,29,2010,10.6,64.4
Montana,30,2010,10,64.1
Nebraska,31,2010,8.8,70.8
Nevada,32,2010,11.1,66.3
New Hampshire,33,2010,5.3,69.7
New Jersey,34,2010,7.8,66.6
New Mexico,35,2010,15.7,60.2
New York,36,2010,11.5,63.5
North Carolina,37,2010,13.3,64
North Dakota,38,2010,7.8,70.5
Ohio,39,2010,11.8,64.1
Oklahoma,40,2010,12.7,62.6
Oregon,41,2010,11,63.5
Pennsylvania,42,2010,9.3,63
Rhode Island,44,2010,9.2,64.6
South Carolina,45,2010,13.8,61.9
South Dakota,46,2010,9.2,68.9
Tennessee,47,2010,13.4,61.6
Texas,48,2010,13.8,65.2
Utah,49,2010,9.7,68.4
Vermont,50,2010,8.4,68.4
Virginia,51,2010,7.7,66.7
Washington,53,2010,9.2,65.3
West Virginia,54,2010,13.2,54.3
Wisconsin,55,2010,9.1,68.3
Wyoming,56,2010,7.2,68.3
Puerto Rico,72,2010,41.2,47.2
Alabama,01,2011,14.9,59.2
Alaska,02,2011,6.9,71.1
Arizona,04,2011,14.1,60.3
Arkansas,05,2011,14.9,59.5
California,06,2011,12.4,63.9
Colorado,08,2011,9.1,69.1
Connecticut,09,2011,7.9,68.1
Delaware,10,2011,8,64
District of Columbia,11,2011,15.4,67.4
Florida,12,2011,12.4,59.8
Georgia,13,2011,14.7,63.4
Hawaii,15,2011,8.6,65.2
Idaho,16,2011,11.6,63.5
Illinois,17,2011,11,65.9
Indiana,18,2011,11.7,64
Iowa,19,2011,8.1,67.7
Kansas,20,2011,9.2,68.1
Kentucky,21,2011,14.7,59.8
Louisiana,22,2011,16.1,61.1
Maine,23,2011,9.3,64.7
Maryland,24,2011,7.1,68.9
Massachusetts,25,2011,8.3,67.6
Michigan,26,2011,12.5,61.4
Minnesota,27,2011,7.6,70.2
Mississippi,28,2011,17.4,58.2
Missouri,29,2011,11.5,64
Montana,30,2011,9.7,65.5
Nebraska,31,2011,9.1,70.7
Nevada,32,2011,11.9,65.1
New Hampshire,33,2011,5.6,68.6
New Jersey,34,2011,7.8,66.5
New Mexico,35,2011,16.6,61
New York,36,2011,12.3,63.2
North Carolina,37,2011,13.2,63.5
North Dakota,38,2011,7.9,70.4
Ohio,39,2011,12,63.6
Oklahoma,40,2011,12.8,62.1
Oregon,41,2011,11.9,62.6
Pennsylvania,42,2011,9.6,62.6
Rhode Island,44,2011,10.6,66.7
South Carolina,45,2011,14.3,61.1
South Dakota,46,2011,9.6,68.8
Tennessee,47,2011,13.7,61.6
Texas,48,2011,14.4,64.9
Utah,49,2011,10.4,68.1
Vermont,50,2011,6.9,67.9
Virginia,51,2011,8.2,66.4
Washington,53,2011,9.4,65
West Virginia,54,2011,13.7,54.3
Wisconsin,55,2011,8.8,67.6
Wyoming,56,2011,7.9,69.1
Puerto Rico,72,2011,41.7,46
Alabama,01,2012,14.7,58.5
Alaska,02,2012,7.5,70.4
Arizona,04,2012,13.6,60.2
Arkansas,05,2012,14.6,59.4
California,06,2012,12.9,63.8
Colorado,08,2012,9.3,68.7
Delaware,10,2012,8.2,64.1
District of Columbia,11,2012,13.9,69
Connecticut,09,2012,7.9,67.7
Florida,12,2012,12.6,59.6
Georgia,13,2012,15,63
Idaho,16,2012,11.7,63.7
Hawaii,15,2012,8.6,65.5
Illinois,17,2012,10.9,66.2
Indiana,18,2012,11.3,64.3
Iowa,19,2012,8.8,67.7
Kansas,20,2012,9.3,67.4
Kentucky,21,2012,14.8,59.8
Louisiana,22,2012,15.5,61.3
Maine,23,2012,9.8,63.9
Maryland,24,2012,7.3,68.8
Massachusetts,25,2012,8.5,67.3
Michigan,26,2012,12.6,61.2
Minnesota,27,2012,7.6,70.1
Mississippi,28,2012,19.2,58.5
Missouri,29,2012,11.7,63.7
Montana,30,2012,10.2,64.6
Nebraska,31,2012,9.1,70.4
Nevada,32,2012,12.6,65.1
New Hampshire,33,2012,6.7,68.7
New Jersey,34,2012,8.2,66.2
New Mexico,35,2012,16.8,60.1
New York,36,2012,12.2,63.5
North Carolina,37,2012,13.4,63.1
North Dakota,38,2012,7,70.8
Ohio,39,2012,12,63.3
Oklahoma,40,2012,13.1,61.8
Oregon,41,2012,12.1,62.4
Pennsylvania,42,2012,9.5,62.8
Rhode Island,44,2012,9.2,66.1
South Carolina,45,2012,14.1,61
South Dakota,46,2012,8.6,68.9
Tennessee,47,2012,13.7,61.1
Texas,48,2012,14,64.8
Vermont,50,2012,7.4,67.3
Utah,49,2012,9.6,68.8
Virginia,51,2012,8.6,66.4
Washington,53,2012,9.3,64.8
West Virginia,54,2012,12.9,54.1
Wisconsin,55,2012,8.9,67.3
Wyoming,56,2012,8.5,68
Puerto Rico,72,2012,40.6,45.3
Mississippi,28,2013,19,57.7
Missouri,29,2013,11.5,63.7
Montana,30,2013,11.3,63.7
Nebraska,31,2013,8.8,69.9
Nevada,32,2013,11.6,64.6
New Hampshire,33,2013,5.1,68.1
New Jersey,34,2013,8.7,65.9
New Mexico,35,2013,16.3,59.3
New York,36,2013,12.1,63.5
North Carolina,37,2013,13.1,62.9
North Dakota,38,2013,7,70.3
Ohio,39,2013,11.6,63.2
Oklahoma,40,2013,12.5,61.6
Oregon,41,2013,11.3,62.1
Pennsylvania,42,2013,9.3,62.9
Rhode Island,44,2013,10.7,65.8
South Carolina,45,2013,14.1,61
South Dakota,46,2013,9.2,68.9
Tennessee,47,2013,13.3,61.4
Texas,48,2013,13.6,64.9
Vermont,50,2013,7.8,66.1
Utah,49,2013,9.3,67.2
Virginia,51,2013,8.4,66.2
Washington,53,2013,9.5,64.1
West Virginia,54,2013,13.5,54.4
Wisconsin,55,2013,9.2,67.1
Wyoming,56,2013,8.4,68.4
Puerto Rico,72,2013,41.6,44.8
Alabama,01,2013,14.3,58.2
Alaska,02,2013,5.9,71.2
Arizona,04,2013,13.6,59.3
Arkansas,05,2013,14.5,58.3
California,06,2013,12.6,63.5
Colorado,08,2013,8.7,68
Delaware,10,2013,8.5,63.8
District of Columbia,11,2013,15.7,68.8
Connecticut,09,2013,7.6,67.4
Florida,12,2013,12.4,58.9
Georgia,13,2013,14.5,62.9
Idaho,16,2013,10.4,62.5
Hawaii,15,2013,7.1,64.8
Illinois,17,2013,10.8,65.9
Indiana,18,2013,11.9,63.7
Iowa,19,2013,8.1,67.7
Kansas,20,2013,9.6,66.7
Kentucky,21,2013,14.5,59.6
Louisiana,22,2013,15.3,60.5
Maine,23,2013,9.6,63
Maryland,24,2013,7.1,68.6
Massachusetts,25,2013,8.6,67.4
Michigan,26,2013,12.3,61.2
Minnesota,27,2013,7.2,69.9
Alabama,01,2014,15,57.7
Alaska,02,2014,7.9,70
Arizona,04,2014,13.2,59.2
Arkansas,05,2014,13.8,58.2
California,06,2014,12.2,63.2
Colorado,08,2014,8,68.1
Delaware,10,2014,8.5,63.1
District of Columbia,11,2014,14.2,68.9
Connecticut,09,2014,7.5,67.2
Florida,12,2014,12,58.6
Georgia,13,2014,14.1,62.4
Idaho,16,2014,10.2,61.9
Hawaii,15,2014,7.8,64.8
Illinois,17,2014,10.5,65.4
Indiana,18,2014,10.9,64
Iowa,19,2014,7.9,67.8
Kansas,20,2014,9.2,66
Kentucky,21,2014,14.5,59.3
Louisiana,22,2014,14.9,60
Maine,23,2014,9.7,63.1
Maryland,24,2014,7.1,68.1
Massachusetts,25,2014,8.3,67.5
Michigan,26,2014,11.4,61
Minnesota,27,2014,7.5,69.7
Mississippi,28,2014,16.5,57.7
Missouri,29,2014,10.7,62.7
Montana,30,2014,9.5,63.6
Nebraska,31,2014,8.7,70.3
Nevada,32,2014,11,63.7
New Hampshire,33,2014,6,68
New Jersey,34,2014,8.3,66.1
New Mexico,35,2014,16.5,59
New York,36,2014,12.2,63.2
North Carolina,37,2014,12.8,62.4
North Dakota,38,2014,7.4,69.4
Ohio,39,2014,11.6,63.3
Oklahoma,40,2014,12.2,61.3
Oregon,41,2014,11,61.5
Pennsylvania,42,2014,9.4,62.5
Rhode Island,44,2014,10,65
South Carolina,45,2014,13.2,60.6
South Dakota,46,2014,9.4,69.6
Tennessee,47,2014,13.7,60.8
Texas,48,2014,13.4,64.5
Vermont,50,2014,8.7,66.2
Utah,49,2014,8.5,67.6
Virginia,51,2014,8.3,66.1
Washington,53,2014,8.8,64.1
West Virginia,54,2014,13.1,53.2
Wisconsin,55,2014,9,66.9
Wyoming,56,2014,7.4,68.2
Puerto Rico,72,2014,42.3,44.5
Mississippi,28,2015,17,56.9
Missouri,29,2015,10.2,63.1
Montana,30,2015,9.3,62.3
Nebraska,31,2015,8.5,69.4
Nevada,32,2015,10.9,63.5
New Hampshire,33,2015,5,67.8
New Jersey,34,2015,8.1,65.2
New Mexico,35,2015,14.8,58.4
New York,36,2015,11.6,63.2
North Carolina,37,2015,11.8,61.9
North Dakota,38,2015,6.9,70
Ohio,39,2015,10.7,63.2
Oklahoma,40,2015,11.7,61.3
Oregon,41,2015,9.9,61.8
Pennsylvania,42,2015,9.1,62.5
Rhode Island,44,2015,10.1,64.6
South Carolina,45,2015,12.1,60.1
South Dakota,46,2015,8.3,68.1
Tennessee,47,2015,12.3,61
Texas,48,2015,12.2,64.3
Vermont,50,2015,5.8,65.4
Utah,49,2015,8.3,67.7
Virginia,51,2015,7.8,66
Washington,53,2015,7.9,63.7
West Virginia,54,2015,13.5,52.9
Wisconsin,55,2015,7.9,66.9
Wyoming,56,2015,6.7,67.8
Puerto Rico,72,2015,42.5,44.7
Alabama,01,2015,13.7,56.9
Alaska,02,2015,7,70.5
Arizona,04,2015,12.5,58.8
Arkansas,05,2015,13.7,57.6
California,06,2015,11.3,63
Colorado,08,2015,7.6,68
Delaware,10,2015,8.7,62.5
District of Columbia,11,2015,14,69.8
Connecticut,09,2015,7.4,66.7
Florida,12,2015,11.3,58.4
Georgia,13,2015,13,62.6
Idaho,16,2015,10.9,62.3
Hawaii,15,2015,6.9,65.5
Illinois,17,2015,9.8,65.2
Indiana,18,2015,10.2,63.6
