year,state,sfip,pop_wm65o,pop_wmU20,pop_wmWA,pop_wf65o,pop_wfU20,pop_wfWA,pop_bm65o,pop_bmU20,pop_bmWA,pop_bf65o,pop_bfU20,pop_bfWA,pop_nm65o,pop_nmU20,pop_nmWA,pop_nf65o,pop_nfU20,pop_nfWA,population
2007,VA,51,314194,731757,1772208,416763,695316,1761873,54566,252083,450191,84305,245766,496345,13483,67053,147499,17080,65097,165421,7751000
2007,VT,50,36339,76877,184576,47529,72221,187443,134,1778,2081,127,1601,1543,263,1636,3259,294,1858,3922,623481
2007,WA,53,305568,731116,1712121,384554,692326,1688581,6617,55668,87834,7543,52283,73437,19742,100485,194636,28909,97712,222455,6461587
2007,WI,55,305308,658233,1540612,406918,625734,1506663,8047,78413,97295,12026,75493,103435,3572,37660,53853,4997,37277,55239,5610775
2007,WV,54,119827,211971,525171,159595,202306,530233,2499,11197,21985,4097,10109,17618,705,2204,5810,752,2104,5869,1834052
2007,WY,56,29061,69728,160047,34287,64595,151039,147,1411,2160,175,1259,1303,472,3674,5400,622,3690,5806,534876
2008,AK,02,19479,67761,173171,19395,62983,151176,524,6185,9595,624,5775,7372,4440,31630,45258,5860,29705,46522,687455
2008,AL,01,221159,431597,1003658,295185,409648,1005289,43470,206175,336430,71717,201995,399390,2354,13709,29397,3059,13483,30491,4718206
2008,AR,05,159818,311037,688070,206332,294570,687019,14504,81121,122049,23265,79408,138028,1610,11287,20838,2037,11172,22389,2874554
2008,AZ,04,355622,771778,1573826,425422,734195,1569111,7495,57376,88458,9262,53545,78481,14394,100066,156069,19969,97860,167433,6280362
2008,CA,06,1408772,4100966,8526064,1837250,3893386,8223908,93561,443111,777117,131025,423731,793809,250133,813343,1794298,336019,774131,1983713,36604337
2008,CO,08,213562,607648,1392193,271527,573493,1356104,6352,42920,71682,8131,40326,62381,6011,37759,72543,8552,38940,79606,4889730
2008,CT,09,189378,381243,884091,264061,361261,903982,11789,70325,109566,18619,66723,124621,3984,23498,50956,4763,23717,53002,3545579
2008,DC,11,10238,17297,90202,11764,17742,88177,15763,42638,86299,27293,42949,103450,695,1975,8864,1032,2266,11592,580236
2008,DE,10,46130,79597,191759,59227,76503,197095,6545,34024,52927,9284,33259,61774,1144,5193,11074,1386,5192,11761,883874
2008,FL,12,1269041,1697313,4320429,1575124,1606360,4364670,100143,537237,849182,143631,520420,935782,20582,83813,184286,26483,82485,210324,18527305
2008,GA,13,324403,848761,1899171,429053,801510,1863018,75485,505095,809856,123720,495004,953468,8862,58235,117991,10815,55191,125205,9504843
2008,HI,15,22555,27707,126277,23456,25766,102724,669,6095,12576,450,5650,7627,57676,138782,274563,79655,131167,288818,1332213
2008,IA,19,185718,384434,834318,253615,365649,824184,1903,23698,26745,2543,21835,22898,1301,11455,21623,1710,11581,21524,3016734
2008,ID,16,82521,227470,426228,97173,215936,418415,199,3648,4138,154,3502,2603,1359,9148,14817,1772,9118,16119,1534320
