"fips","year","state","b_h_f_18to64","b_h_f_65o","b_h_f_U18","b_h_m_18to64","b_h_m_65o","b_h_m_U18","b_n_f_18to64","b_n_f_65o","b_n_f_U18","b_n_m_18to64","b_n_m_65o","b_n_m_U18","o_h_f_18to64","o_h_f_65o","o_h_f_U18","o_h_m_18to64","o_h_m_65o","o_h_m_U18","o_n_f_18to64","o_n_f_65o","o_n_f_U18","o_n_m_18to64","o_n_m_65o","o_n_m_U18","w_h_f_18to64","w_h_f_65o","w_h_f_U18","w_h_m_18to64","w_h_m_65o","w_h_m_U18","w_n_f_18to64","w_n_f_65o","w_n_f_U18","w_n_m_18to64","w_n_m_65o","w_n_m_U18","pov_tot","pov_u18","pov_18to64","pov_65o"
21,2010,"KY",2160,63,1964,2813,59,2125,109164,12173,59138,107484,7094,62062,1411,40,1273,2198,32,1345,22717,1331,9869,20552,926,9380,27922,1283,23231,39947,1006,25310,1253190,218335,463656,1218604,151770,486837,"19.0%","26.3%","17.9%","11.2%"
21,2011,"KY",2238,61,2079,2850,64,2198,111440,12331,59370,109678,7326,62392,1445,42,1328,2176,37,1416,23607,1437,10086,21493,1001,9621,28972,1381,24030,40505,1087,26181,1260182,221246,459329,1223901,155209,483078,"19.1%","27.4%","17.6%","11.8%"
21,2012,"KY",2382,65,2183,2896,68,2362,113284,12586,59195,112310,7536,62144,1478,46,1432,2231,52,1434,24634,1584,10375,22622,1121,9932,30235,1458,24822,41660,1185,26818,1262241,224495,455051,1227620,159337,478991,"19.4%","26.5%","18.3%","12.3%"
21,2013,"KY",2433,66,2267,3005,70,2474,115398,12854,59449,114893,7744,62498,1512,45,1521,2195,53,1520,25807,1751,10890,23738,1203,10493,31406,1585,25599,43024,1303,27652,1261885,229017,452346,1228202,164561,476447,"18.8%","25.3%","18.1%","11.2%"
21,2014,"KY",2463,76,2325,3067,66,2556,116802,13188,59478,116408,8003,62270,1569,54,1563,2243,56,1656,26515,1887,11130,24488,1336,10782,32175,1708,26081,43306,1384,27906,1261553,233447,449390,1227569,169260,473232,"19.1%","26.2%","18.3%","11.3%"
21,2015,"KY",2522,77,2444,3106,70,2714,117942,13442,59511,118286,8259,62196,1618,54,1602,2239,67,1690,27689,2046,11640,25646,1482,11387,32999,1843,26834,43872,1481,28481,1260761,236741,447096,1227176,173157,470956,"18.5%","25.9%","28.6%","24.9%"
21,2016,"KY",2587,82,2546,3140,73,2805,119404,13759,59918,119622,8490,62519,1672,62,1706,2281,84,1812,28853,2212,11957,26754,1623,11882,34099,1980,27754,44806,1600,29377,1259168,240242,445106,1225234,176824,468273,"18.5%","25.0%","27.2%","24.2%"
21,2017,"KY",2716,87,2705,3240,75,3007,120801,14269,60534,121507,8918,63084,1676,71,1775,2306,100,1840,29681,2435,12248,27633,1755,12249,35763,2099,28627,46505,1724,30578,1252047,249629,443148,1218275,186274,466209,"17.2%","22.4%","25.2%","21.4%"
21,2018,"KY",2785,97,2787,3362,88,3093,121608,14953,60805,122305,9506,63273,1741,77,1835,2348,104,1937,29932,2630,12384,27894,1927,12495,37529,2223,29705,47891,1852,31471,1246604,257174,440476,1211655,193705,464022,"16.9%","23.0%","16.4%","10.2%"
21,2019,"KY",2871,115,2834,3461,103,3192,122614,15698,61040,123928,10163,63586,1764,86,1884,2329,113,2004,30570,2863,12631,28725,2108,12766,38817,2409,30304,48596,2028,32217,1240672,264604,437260,1205814,201180,460996,"16.3%","21.7%","15.5%","11.6%"
22,2010,"LA",4986,373,3345,5937,252,3581,478147,52370,241575,421090,31321,247649,2345,100,1439,3368,75,1492,36667,2603,14959,35696,2041,15324,45569,4257,24577,62580,3021,26712,912023,166614,327976,902668,118431,343472,"18.7%","27.3%","16.7%","11.5%"
22,2011,"LA",5190,395,3570,6262,264,3776,486161,53669,239561,427748,32318,246250,2438,118,1602,3536,83,1631,37983,2788,15152,36726,2214,15551,47611,4454,25589,64619,3202,27441,918176,168425,323676,907385,120820,339860,"20.4%","28.8%","18.7%","12.7%"
22,2012,"LA",5339,411,3941,6403,278,4167,492797,55134,237604,433787,33550,244161,2541,114,1875,3628,86,1848,38782,3013,15210,37478,2404,15557,49211,4728,26202,65637,3389,27862,921324,170952,321081,910329,123685,337559,"19.9%","28.1%","18.2%","12.6%"
22,2013,"LA",5557,436,4312,6628,293,4521,499056,56669,235873,439823,34720,242104,2651,122,2073,3675,89,2055,39584,3200,15289,38221,2540,15613,51052,4960,27192,67659,3622,28748,921116,173979,319137,910395,127388,335688,"19.8%","27.7%","18.1%","12.7%"
22,2014,"LA",5676,465,4648,6775,321,4864,503742,58110,234383,444124,36021,240611,2758,140,2254,3692,95,2255,40058,3428,15271,38790,2738,15661,52397,5203,28164,68915,3827,29535,920682,176844,318152,910318,130656,334365,"19.8%","27.9%","18.2%","12.8%"
22,2015,"LA",5894,490,5023,6944,315,5224,507145,59776,233410,447432,37414,239740,2798,135,2405,3716,106,2428,40937,3682,15456,39663,2924,15995,53650,5443,29344,70040,4052,30470,920581,179800,317202,910232,133860,333272,"19.6%","28.4%","31.5%","27.2%"
22,2016,"LA",6044,502,5460,7040,325,5670,509881,61525,232924,449642,38773,238919,2834,149,2605,3656,115,2533,41628,3944,15542,40273,3202,16280,54918,5788,30378,70621,4314,31560,919142,182546,316201,907485,136961,331966,"20.2%","28.6%","30.6%","27.9%"
22,2017,"LA",6132,533,5752,6958,360,6064,510523,64284,231241,449549,41029,237279,2856,171,2798,3633,129,2735,41836,4301,15517,40297,3495,16230,55535,6093,31009,70059,4617,32376,909172,189559,313322,895829,143929,328471,"19.7%","28.0%","32.2%","26.4%"
22,2018,"LA",6236,589,6068,6994,364,6449,510471,67057,229310,449015,43284,235108,2874,180,2938,3631,136,2877,41915,4627,15561,40308,3797,16187,56172,6443,31778,69997,4897,33313,900680,194981,309983,885793,149340,325097,"18.6%","26.2%","17.2%","12.4%"
22,2019,"LA",6431,611,6335,7127,399,6793,510302,70156,227314,448649,45619,232844,2861,198,3065,3594,160,2910,42257,4989,15576,40564,4052,16278,57335,6819,32857,70605,5250,34515,892437,200010,306416,877194,154597,321166,"19.0%","27.0%","17.4%","13.2%"
23,2010,"ME",220,6,214,328,9,277,3768,208,4491,5355,214,4823,237,9,187,272,13,178,8631,554,4204,7217,336,3890,4157,325,3103,3988,226,3256,425277,84084,138268,411893,60490,146943,"12.9%","17.8%","12.2%","9.5%"
23,2011,"ME",233,12,216,364,13,280,4004,232,4597,5615,229,5012,270,8,215,298,14,188,8917,606,4190,7428,373,3920,4318,335,3154,4284,234,3289,426066,84658,135976,412545,61857,144523,"14.1%","18.8%","14.2%","8.0%"
23,2012,"ME",252,13,212,391,13,266,4179,257,4585,5933,242,5066,288,8,229,304,14,204,9080,658,4130,7523,415,3901,4489,348,3166,4499,240,3308,426030,86073,133834,412142,63702,142100,"14.7%","20.9%","14.4%","8.2%"
23,2013,"ME",268,12,228,411,13,290,4344,273,4657,6183,245,5186,301,10,230,314,16,189,9330,708,4093,7739,458,3914,4719,378,3271,4871,258,3381,425028,88174,131577,411328,66302,139844,"14.0%","17.7%","14.2%","9.1%"
23,2014,"ME",292,16,233,438,14,298,4744,291,4929,6507,255,5289,342,15,263,356,21,216,9635,802,4064,8045,523,3894,5078,402,3312,5202,280,3390,424740,90182,129931,410879,68437,137902,"14.1%","19.1%","14.1%","8.9%"
23,2015,"ME",332,21,239,437,13,307,4945,303,4942,6733,267,5267,351,18,257,352,32,237,9740,875,4011,8083,559,3879,5267,433,3323,5374,300,3347,423872,91148,128265,409590,70115,135864,"13.4%","17.4%","19.1%","16.8%"
23,2016,"ME",337,31,233,445,14,306,5324,307,5079,7178,275,5320,379,17,273,356,44,257,10145,933,3998,8302,635,3950,5468,458,3374,5644,315,3374,423890,92764,127017,409313,72029,134564,"12.5%","17.2%","19.1%","16.6%"
23,2017,"ME",353,33,235,487,16,321,5560,329,5141,7503,292,5400,410,22,274,367,47,278,10306,1017,3945,8445,691,3989,5682,495,3395,5931,337,3449,422026,96689,125647,406985,76411,133235,"11.1%","13.1%","13.8%","12.9%"
23,2018,"ME",373,39,235,503,14,335,5799,341,5299,7910,328,5482,401,23,287,395,49,287,10499,1109,3898,8614,721,3987,5910,522,3473,6187,367,3488,420570,100607,124535,405391,80449,131696,"11.6%","14.5%","11.6%","9.1%"
23,2019,"ME",388,51,272,535,17,339,6211,352,5514,8374,348,5666,442,26,282,407,53,281,10724,1196,3941,8841,781,4066,6212,561,3526,6594,400,3712,419481,103885,123610,404343,83818,130521,"10.9%","13.8%","10.8%","8.5%"
24,2010,"MD",17176,677,11111,16532,333,11893,609418,62295,254525,506073,37319,262105,8260,263,5153,10227,169,5397,132204,11115,47547,115569,9008,48369,114062,5769,63827,133048,3503,67792,1077503,207501,360410,1048401,145573,378657,"9.9%","13.0%","9.1%","7.7%"
24,2011,"MD",17877,726,11530,17047,366,12314,618634,64595,252863,516556,38973,259924,8439,277,5401,10440,190,5602,136285,11995,48766,119136,9708,49847,117897,6105,66410,137232,3778,70551,1079595,209069,357050,1051647,148113,375303,"10.1%","13.5%","9.3%","7.5%"
24,2012,"MD",18488,707,11977,17597,382,12858,627236,67303,250305,526152,40931,257469,8773,294,5751,10656,197,5909,140414,12991,50023,122744,10550,51120,121777,6500,68756,141684,4082,72876,1079602,212013,353212,1053978,152014,371054,"10.3%","13.8%","9.6%","7.6%"
24,2013,"MD",19002,722,12499,18054,389,13277,635315,70505,248098,535187,42915,254907,8956,306,6033,10871,223,6297,143802,13976,50998,125869,11323,52309,125708,6945,71230,145485,4381,75114,1075538,216063,348650,1051005,157171,366074,"10.1%","13.6%","9.3%","8.0%"
24,2014,"MD",19657,770,13073,18531,439,13926,642573,73968,246703,543331,45165,253255,9171,339,6471,11110,238,6728,147544,15034,51930,128793,12220,53387,129478,7494,75044,149559,4759,79298,1069548,219566,344139,1045116,160995,360712,"10.1%","13.0%","9.6%","7.4%"
24,2015,"MD",20280,818,13634,19090,483,14505,649133,77151,245705,551161,47259,252197,9442,362,6946,11382,267,7227,151170,16249,52846,132246,13085,54557,133528,8015,77814,153599,5212,81662,1061846,222541,339178,1038240,164426,355272,"9.7%","13.2%","14.9%","12.6%"
24,2016,"MD",20827,910,14086,19704,535,15001,653407,80564,244648,556379,49321,251468,9612,381,7403,11538,294,7672,153775,17432,53468,134640,14007,55391,137386,8471,80893,157003,5666,84970,1052050,225395,334777,1029612,167915,350413,"9.7%","12.7%","13.4%","12.5%"
24,2017,"MD",21406,1026,14640,20380,583,15584,657770,85371,243529,561000,52342,250257,9829,436,7912,11737,328,8230,156362,18960,54225,137142,15029,56240,141343,9153,83865,160521,6228,88225,1037133,233809,329982,1015593,176105,345911,"9.3%","12.0%","13.1%","11.6%"
24,2018,"MD",22017,1112,15295,20911,646,16112,660140,90581,242234,564784,55497,248614,10109,465,8404,11961,370,8768,157483,20413,54612,138153,16065,56794,145470,9896,86917,164121,6779,91245,1023963,240009,325940,1002589,182447,341237,"9.0%","11.6%","8.4%","7.3%"
24,2019,"MD",22592,1223,15987,21489,761,16806,662734,95659,241349,568504,58625,247213,10408,502,8773,12210,410,9143,158890,21804,54951,139415,17072,57325,148733,10689,89948,167083,7315,94221,1011391,245471,321376,990307,188087,336488,"9.0%","12.0%","8.3%","7.8%"
25,2010,"MA",30141,1640,19084,24986,1027,19853,146496,14977,69522,134432,8833,72587,9247,398,5857,9121,296,6094,139298,9831,53720,126395,7981,52470,155143,8547,92470,148670,5304,96057,1727875,350113,555892,1650958,230759,580366,"11.4%","14.3%","11.0%","8.7%"
25,2011,"MA",31604,1771,19676,26519,1139,20499,150544,15573,70119,138829,9209,72980,9729,443,5848,9604,328,6116,145404,10528,55164,131701,8534,53943,161631,9172,94179,156101,5760,97989,1730726,350138,550579,1655631,232723,573785,"11.6%","15.2%","10.9%","9.3%"
25,2012,"MA",32998,1924,20445,28256,1288,21404,154798,16229,70743,143790,9631,73714,10108,478,5884,10187,359,6134,151953,11203,56890,137804,9174,55628,168191,9833,95873,164062,6263,99725,1731985,352713,543212,1659157,237270,564963,"11.9%","15.4%","11.3%","9.3%"
25,2013,"MA",34266,2107,21134,30030,1420,22194,159623,16939,71443,148451,10103,74549,10465,532,5971,10676,399,6147,158234,11908,58680,143294,9749,57480,174994,10633,97773,171186,6791,101536,1732306,358216,535758,1659595,244527,556049,"11.9%","16.3%","11.2%","8.8%"
25,2014,"MA",35554,2306,21757,31848,1541,22828,164052,17661,71959,153332,10596,75304,10849,596,6033,11089,434,6235,165005,12753,60307,149293,10418,59312,182073,11465,99707,178808,7350,103414,1732285,362463,528169,1660600,250280,547188,"11.6%","15.2%","11.0%","9.3%"
25,2015,"MA",36738,2487,22430,33333,1696,23457,167937,18451,72699,157429,11192,75784,11228,655,6126,11539,487,6372,170885,13556,61624,154596,11046,60763,188578,12431,101666,185738,7976,105662,1728677,365556,519365,1656719,255023,537583,"11.5%","14.8%","16.4%","14.2%"
25,2016,"MA",37958,2663,23074,34650,1813,24083,171881,19179,73641,161802,11704,76436,11602,726,6198,11974,525,6467,177275,14459,63023,160662,11715,62478,194614,13461,103484,192098,8609,107400,1722318,368717,510803,1651273,259960,528555,"10.4%","13.6%","15.8%","12.8%"
25,2017,"MA",39214,2887,24106,36000,1928,24944,175459,20119,74730,166075,12400,77233,11911,790,6237,12364,575,6613,183987,15491,64483,166764,12462,64400,201082,14639,106128,199091,9451,109901,1708219,380731,502393,1638398,272400,519955,"10.5%","13.5%","14.6%","13.1%"
25,2018,"MA",40411,3082,25008,37219,2054,25882,178498,21073,75644,169137,13127,77825,12250,844,6324,12709,643,6699,188527,16602,65101,170463,13411,65444,208166,15822,108266,205841,10194,112236,1694359,390709,493733,1625251,282146,511020,"10.0%","12.2%","9.5%","9.1%"
25,2019,"MA",41383,3306,25712,38196,2225,26610,181249,22032,76086,172441,13846,78097,12519,928,6565,13016,693,6995,193188,17862,65823,174874,14315,66509,212234,16943,109199,209935,10987,112899,1679051,399825,484475,1612482,291150,501233,"9.4%","11.6%","8.8%","9.1%"
26,2010,"MI",8382,389,8518,7130,235,9067,467224,56462,236461,409650,34052,245326,6186,241,5087,6272,192,5102,111472,7659,50514,103092,5977,51570,100550,6737,79243,107141,5236,82238,2495675,484367,907225,2472961,343795,956169,"16.8%","23.5%","16.1%","8.0%"
26,2011,"MI",8702,387,8629,7425,210,9152,472890,57299,231212,414354,34628,240439,6346,238,5194,6448,191,5196,115641,8286,51599,106883,6534,52841,103221,6952,80466,109582,5436,83381,2500572,487621,889251,2476932,350097,938818,"17.5%","24.8%","16.9%","8.2%"
26,2012,"MI",9018,400,8750,7800,217,9334,476853,58339,226637,419079,35671,235666,6627,258,5337,6723,203,5323,120207,8998,52492,111568,7116,53715,106729,7283,81547,113374,5662,84428,2500814,493952,874672,2480606,359515,923376,"17.4%","24.9%","16.8%","8.3%"
26,2013,"MI",9249,399,8954,8062,216,9573,478854,59652,222527,421829,36771,231340,6820,280,5425,6865,216,5384,124961,9741,53669,116515,7759,54683,109817,7645,82219,116685,5920,84988,2497959,503697,863196,2480850,371947,910135,"17.0%","23.8%","16.7%","8.3%"
26,2014,"MI",9454,425,9126,8414,216,9744,480923,60900,219323,424875,37923,227712,7029,304,5520,7069,238,5433,129515,10414,54757,121827,8371,55441,112808,7975,82730,119757,6243,85672,2496481,510628,852663,2483000,380989,898134,"16.2%","22.6%","15.9%","8.1%"
26,2015,"MI",9739,460,9209,8747,245,9835,481221,62384,216920,426822,38940,224857,7239,298,5640,7224,269,5519,133450,11201,55463,126805,8885,55989,115556,8301,83244,122686,6597,86117,2492178,514239,842035,2481532,388382,886255,"15.8%","22.4%","25.0%","21.5%"
26,2016,"MI",10032,465,9323,9011,246,10038,481574,63798,215412,428011,40088,223514,7444,333,5703,7405,293,5615,138211,12132,56185,132984,9576,56827,119145,8686,84230,126649,6908,87347,2489851,519341,833602,2481452,395629,877057,"15.0%","20.7%","24.0%","19.6%"
26,2017,"MI",10351,474,9480,9329,250,10227,481636,66384,214301,428082,41997,222378,7703,374,5801,7654,301,5700,142410,13274,56623,138142,10387,57712,122438,9189,84990,130186,7389,88086,2475993,537551,825572,2470606,415118,868664,"14.2%","19.7%","23.8%","18.2%"
26,2018,"MI",10630,491,9655,9633,270,10369,481031,69361,213367,427890,43865,221451,7845,410,5878,7803,320,5799,145076,14354,56643,141443,11220,57984,126309,9722,85506,134250,7871,88658,2464004,552172,816343,2460718,430367,858578,"14.1%","19.4%","13.6%","9.0%"
26,2019,"MI",10970,532,9842,10020,295,10515,480258,72222,212310,427724,45785,220180,8068,442,5950,7997,341,5906,146115,15364,56445,142588,11978,58074,130198,10334,85973,138539,8338,89091,2448544,567279,805897,2447151,445626,847904,"13.0%","17.6%","12.7%","8.4%"
27,2010,"MN",3030,71,3046,3302,71,3237,82851,3994,61346,85731,2847,64626,4281,101,4559,5018,86,4792,92054,5162,53241,85631,3685,53901,55714,1908,46453,65347,1497,49108,1456707,269696,531078,1457154,193400,556209,"11.6%","15.2%","10.8%","8.3%"
27,2011,"MN",3122,67,3199,3337,80,3369,85986,4265,62986,89405,3012,66098,4427,110,5056,5118,93,5259,96041,5482,54175,89719,3955,54830,57185,2032,47085,66429,1590,49617,1461014,272329,527586,1462819,197375,552368,"11.9%","15.4%","11.4%","8.0%"
27,2012,"MN",3236,73,3286,3501,86,3421,88946,4529,64158,92898,3203,67436,4498,113,5355,5234,99,5582,99652,5869,54875,93431,4219,55753,58915,2172,47840,67940,1676,50006,1464102,276471,522137,1467756,202579,546453,"11.4%","14.6%","10.9%","7.9%"
27,2013,"MN",3361,79,3370,3618,85,3543,92390,4790,65860,96629,3439,69312,4653,122,5658,5452,108,5851,103185,6216,55920,96492,4495,56955,61007,2329,48862,69677,1804,50793,1466621,282549,517304,1471542,209501,541150,"11.2%","14.0%","10.9%","7.4%"
27,2014,"MN",3500,87,3451,3782,92,3661,96092,5127,68498,100783,3687,71962,4817,138,5917,5561,121,6093,106786,6579,57140,100234,4764,58025,62942,2502,49666,71440,1912,51234,1467948,287326,513654,1474524,215335,537285,"11.5%","14.9%","11.0%","7.5%"
27,2015,"MN",3589,89,3556,3910,100,3799,99754,5458,71314,105219,3963,74570,5083,146,6229,5735,130,6438,110104,6979,58142,103701,5122,59216,64933,2689,50213,73579,2037,51847,1467325,290845,509534,1475797,220310,532547,"10.2%","13.1%","14.1%","12.7%"
27,2016,"MN",3760,91,3646,4039,101,3970,104352,5837,74966,109986,4228,78279,5271,144,6389,5875,148,6742,113818,7395,59291,107269,5376,60503,66905,2849,51040,75807,2239,52444,1467918,295091,506581,1477970,225173,529867,"9.9%","12.7%","13.6%","12.3%"
27,2017,"MN",3928,97,3812,4251,116,4127,108946,6280,78191,114860,4530,81849,5451,161,6717,6090,160,7107,116937,7910,60296,110300,5744,61522,69174,3070,51987,78406,2509,53327,1463628,305844,504091,1474362,236202,527301,"9.5%","11.8%","12.6%","11.5%"
27,2018,"MN",4057,116,3885,4439,137,4228,113378,6804,81391,119687,4932,85051,5714,178,7011,6260,168,7425,119763,8435,61085,113137,6109,62651,71706,3301,52689,80789,2767,54312,1460102,315115,500593,1471615,246009,523723,"9.6%","11.7%","9.4%","7.6%"
27,2019,"MN",4180,141,3940,4619,138,4315,117938,7388,83816,124892,5322,87464,5859,189,7080,6434,183,7507,122260,9047,61610,115542,6578,63218,73775,3583,53240,82924,3042,54714,1454473,324474,497670,1466361,255695,520442,"9.0%","11.2%","8.5%","7.4%"
28,2010,"MS",2462,160,1800,3155,128,1881,360476,39437,186168,308152,22696,190983,1118,27,808,1886,15,919,15106,996,6551,13180,693,6673,15502,799,11272,26694,627,12751,560987,115447,208263,554022,80076,218705,"22.4%","32.5%","20.3%","11.9%"
28,2011,"MS",2554,165,1761,3198,141,1876,365496,39895,183951,312872,23221,188536,1154,33,809,1872,18,897,15733,1087,6567,13621,757,6784,16134,859,11787,26621,694,13100,561751,116665,205230,554710,81981,216617,"22.6%","31.8%","20.6%","13.5%"
28,2012,"MS",2578,183,1726,3131,162,1851,369796,40376,181455,317453,23781,185789,1189,32,808,1842,19,883,16051,1160,6602,13874,805,6768,16464,910,11928,26369,755,13128,561127,118191,203921,554432,84064,214996,"24.2%","34.7%","21.7%","15.1%"
28,2013,"MS",2689,194,1852,3154,173,1975,374172,41120,179118,322140,24480,183007,1214,31,883,1856,25,921,16547,1271,6673,14455,879,6747,16802,981,12387,26563,816,13438,558722,119998,202192,552244,86648,213472,"24.0%","34.0%","22.1%","14.7%"
28,2014,"MS",2741,210,2068,3193,199,2148,377909,41925,176722,324858,25311,180834,1207,36,975,1849,26,1012,16859,1367,6812,14833,944,6847,17325,1059,12785,26980,900,13686,556180,121977,200733,548979,88841,211562,"21.5%","29.4%","20.3%","13.2%"
28,2015,"MS",2771,230,2273,3292,205,2331,381063,42904,174738,326192,26266,178380,1239,36,1109,1834,32,1108,17258,1468,6863,15129,1026,6934,17770,1114,13132,27045,986,14024,553412,123169,199011,545564,90303,210020,"22.0%","31.3%","34.8%","30.0%"
28,2016,"MS",2866,248,2424,3359,227,2526,383184,43828,172983,328598,27134,176720,1236,44,1232,1844,36,1163,17332,1538,6850,15180,1079,6899,18053,1202,13494,27192,1082,14354,551448,124418,197752,542909,91781,208380,"20.8%","29.7%","31.1%","29.2%"
28,2017,"MS",2893,275,2522,3429,253,2618,384123,45531,170969,329882,28609,174826,1277,50,1297,1857,47,1264,17527,1628,6890,15380,1159,6974,18624,1317,13851,28018,1182,14832,545955,128820,196123,537674,96495,206503,"19.8%","26.9%","26.8%","27.0%"
28,2018,"MS",2931,302,2698,3403,270,2793,384164,47390,168644,330270,30084,172313,1288,59,1346,1911,55,1309,17802,1747,6945,15502,1228,7054,18961,1439,14188,28509,1281,15223,540777,131695,193629,532053,99844,203772,"19.7%","27.8%","18.4%","12.4%"
28,2019,"MS",2940,321,2807,3451,297,2843,383668,49573,166610,329715,31919,170112,1302,66,1341,1902,61,1343,18045,1868,6950,15685,1364,7121,19331,1535,14458,28659,1367,15468,537549,134751,191472,528022,102839,201472,"19.6%","28.1%","18.0%","13.2%"
29,2010,"MO",3201,134,3174,3333,93,3188,231300,26386,121617,202677,14962,126287,3158,92,2551,3618,96,2629,51021,3359,21223,45920,2544,20912,49406,2980,37772,56117,2252,40092,1597158,309887,594457,1566688,220604,625201,"15.3%","20.9%","14.5%","9.1%"
29,2011,"MO",3287,154,3282,3504,104,3331,234284,26879,120173,205492,15418,124931,3296,111,2675,3717,111,2726,52878,3624,21653,47584,2785,21496,50914,3148,38404,57334,2391,40643,1601281,312454,587248,1570579,224722,618569,"15.8%","22.1%","15.1%","8.2%"
29,2012,"MO",3379,159,3394,3552,107,3487,237200,27553,118692,208307,15960,123712,3440,113,2786,3849,118,2810,54160,3892,21859,48980,2992,21816,52448,3305,39037,58866,2541,41138,1604041,316690,580348,1573885,230037,611374,"16.2%","22.6%","15.5%","9.0%"
29,2013,"MO",3488,178,3469,3612,118,3639,240220,28209,117459,211856,16542,122442,3542,117,2871,3951,121,2946,55440,4193,22052,50298,3248,22100,53866,3461,39759,60419,2693,41831,1602815,322973,575165,1574782,237243,605871,"15.9%","22.2%","15.1%","9.4%"
29,2014,"MO",3636,183,3636,3760,129,3817,242177,28930,116686,214392,17095,121453,3622,115,3062,4041,130,3158,56977,4451,22536,51915,3529,22619,55484,3599,40452,62031,2819,42370,1602049,328297,570892,1574922,243130,601036,"15.5%","21.1%","14.9%","9.0%"
29,2015,"MO",3707,190,3836,3871,134,3985,243638,29774,116371,216436,17568,121083,3691,117,3220,4107,125,3294,58967,4765,23058,53681,3770,23071,57166,3781,41119,63793,2988,43222,1601378,331712,567587,1575540,247536,597130,"14.8%","20.2%","23.0%","19.2%"
29,2016,"MO",3856,191,3983,4031,149,4108,244906,30448,116105,217991,18066,120917,3818,132,3410,4276,140,3410,60178,5133,23243,54872,4055,23344,58831,3987,41919,65364,3127,44184,1601050,335558,564753,1576375,251745,593729,"14.0%","19.2%","22.2%","18.1%"
29,2017,"MO",3937,207,4085,4104,141,4253,245845,31619,115948,218987,18858,120869,3980,159,3615,4422,168,3691,62071,5594,23624,56771,4368,23882,60527,4301,42839,67244,3327,44932,1594448,347141,561441,1569948,263073,590963,"13.4%","18.6%","20.6%","17.9%"
29,2018,"MO",4071,226,4283,4250,150,4445,246447,32738,115726,219834,19582,120810,4101,162,3857,4501,188,3886,63356,6055,23916,58060,4687,24297,62279,4639,43648,69049,3577,45598,1589171,356178,558153,1564585,271813,587668,"13.2%","18.3%","12.7%","8.2%"
29,2019,"MO",4171,224,4502,4374,165,4648,246815,34102,115539,219717,20420,120660,4294,189,4064,4676,200,4035,64898,6518,24416,59593,5084,24967,64091,4938,44254,70994,3894,46123,1584671,365328,554832,1558562,280886,583631,"12.9%","17.1%","12.5%","8.9%"
30,2010,"MT",152,11,176,185,4,223,1049,70,1404,2075,77,1671,1189,46,1189,1155,31,1200,21930,1685,13744,20272,1154,14070,6337,471,4679,6519,368,4936,285210,53503,100627,292973,43212,107133,"14.6%","20.1%","14.4%","7.0%"
30,2011,"MT",161,13,184,193,5,234,1292,71,1552,2349,82,1766,1283,51,1348,1203,36,1309,22407,1781,13811,20694,1218,14105,6681,491,4780,6938,375,5029,286614,54233,100256,294047,44325,106601,"14.8%","19.7%","14.6%","8.1%"
30,2012,"MT",160,15,184,221,6,245,1571,71,1579,2661,79,1754,1353,54,1459,1275,34,1444,22767,1838,13846,21113,1264,14139,7141,532,4942,7393,396,5165,287773,55172,99512,295469,45814,105727,"15.5%","20.3%","15.6%","8.6%"
30,2013,"MT",175,14,192,227,9,255,1527,71,1676,2652,78,1833,1404,54,1553,1341,35,1595,23345,1946,13992,21705,1320,14397,7517,572,5058,7994,422,5323,289498,56496,99399,297005,47686,105792,"16.5%","21.3%","16.7%","9.2%"
30,2014,"MT",175,17,190,245,10,272,1580,72,1709,2749,78,1837,1471,57,1633,1403,44,1775,23726,2007,14071,22062,1377,14553,7960,603,5214,8479,437,5422,290810,57746,99319,298454,49401,105699,"15.4%","18.5%","16.2%","8.3%"
30,2015,"MT",200,19,204,257,10,268,1665,76,1726,2853,83,1860,1533,59,1725,1480,51,1955,23983,2059,14105,22301,1442,14647,8376,629,5360,9098,457,5408,292196,58915,99464,300310,50917,105804,"14.6%","19.4%","25.0%","17.3%"
30,2016,"MT",204,16,207,272,9,287,1737,100,1767,3011,82,1905,1571,58,1826,1524,55,2035,24457,2140,14238,22608,1497,14782,8849,661,5425,9551,497,5549,294300,60154,99707,302430,52452,106174,"13.3%","15.1%","16.1%","14.7%"
30,2017,"MT",211,17,225,294,11,307,1861,113,1833,3111,99,1972,1663,66,2004,1547,70,2210,24820,2292,14395,22955,1589,14829,9501,701,5476,10091,541,5892,295531,62821,99870,303171,55581,106192,"12.5%","14.7%","19.6%","12.9%"
30,2018,"MT",225,17,235,323,12,326,1929,115,1846,3169,108,1956,1693,72,2141,1575,80,2280,25046,2378,14420,23102,1663,14765,9909,747,5580,10448,590,6060,296330,65246,99492,303511,58557,105872,"13.0%","16.0%","13.1%","9.4%"
30,2019,"MT",229,18,251,318,13,333,2030,154,1853,3299,119,2020,1735,81,2185,1637,82,2334,25385,2572,14436,23280,1806,14747,10290,797,5664,10803,658,6066,296759,67809,99238,304187,61255,105680,"12.6%","14.9%","13.2%","8.6%"
31,2010,"NE",1202,42,1240,1260,31,1379,25239,2168,17713,26258,1488,18734,2825,44,2976,3396,62,3024,17314,954,8823,15508,645,9003,37436,1538,32852,43779,1272,34852,482260,99820,187017,481669,70028,195740,"12.9%","18.2%","12.0%","7.5%"
